bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	spikes_num	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-100_ses-A_task-rest_run-1_bold	0.00039519736842105264	0.022479297203947368	0	24.711421752112205	1.0069936598019806	0.9158540817161713	0.4050496265114012	31875036.0	0.22602942935711492	150	49.3421052631579	1.606489324416274	1.489407664525303	1.7728938445608973	1.5571664641626217	0.069294	-0.008791989646852016	0.006209792103618383	304	72	72	38	7.40314511453457	2.0	3.194444417953491	3.194443941116333	3.3000004291534424	0	59.132627748263666	0.1117593326891464	6.411364555358887	0.0759659856557846	132903.0	6.296092906268316e-05	38.76358909606932	26.053987503051758	1.5158952924982403	55.89418960397636	448.9459533691406	443.8533935546875	28616.0	365.61287689208984	549.9663238525391	59.95365905761719	46.79074478149414
sub-100_ses-A_task-rest_run-2_bold	0.00239296052631579	0.01773101345394737	0	38.23899122429044	1.1882535182178218	0.9922796259075913	0.40434776835950453	58032764.0	0.36839623259140825	208	68.42105263157895	1.6123503712973826	1.4732577513478964	1.750811754125042	1.6129816084192092	0.0810431	-0.008424272760748863	0.0068743168376386166	304	72	72	38	7.477664674233431	2.0	3.194444417953491	3.194443941116333	3.3000004291534424	0	56.50955516788042	0.0829814282405242	6.47685432434082	0.057245638221502304	132989.0	0.0005188473616726698	39.560206604003845	26.529666900634766	1.6138824266770744	56.137496898593476	450.5370178222656	445.7044677734375	28587.0	366.83680419921876	549.762646484375	59.60372543334961	44.01709747314453
sub-100_ses-B_task-rest_run-1_bold	0.00019703947368421052	0.012012754835526315	0	25.64522549976895	1.1436497382838278	0.9358700746864683	0.40510742659449855	108000224.0	0.14176405876230425	42	13.81578947368421	1.603070380822891	1.4625953812285462	1.7455521017417432	1.6010636594983831	0.268309	-0.008491366170346737	0.007348574697971344	304	72	72	38	7.469428483592136	2.0	3.1944446563720703	3.1944448947906494	3.299999952316284	0	59.42472431736796	0.05780185076632907	6.006438732147217	0.03997194394469261	132711.0	0.0003672482416732237	36.242231369018555	25.028804779052734	2.2607448550140035	51.3298307232743	430.3621826171875	426.2017822265625	28762.0	349.5641891479492	524.2574523925779	57.05849838256836	50.00685501098633
sub-100_ses-B_task-rest_run-2_bold	0.0006924671052631579	0.020759922138157895	0	27.80237767570958	1.0657823768646868	0.9334137839933988	0.40756643434519374	18592718.0	0.30863246204281486	192	63.1578947368421	1.5896828276605843	1.4474879039699453	1.7373847985453266	1.584175780466481	0.067019	-0.008283095434308052	0.006861117668449879	304	72	72	38	7.635292565509352	2.0	3.1944446563720703	3.1944448947906494	3.299999952316284	1	56.78597731927314	0.1418545697892003	6.461080074310303	0.09658996760845184	132611.0	0.00018588128295959905	38.43294334411621	25.63505744934082	1.8117886311156974	53.69376865388532	443.1733093261719	438.7843017578125	28788.0	362.5354263305664	538.2077758789062	57.46691131591797	46.685585021972656
sub-101_ses-A_task-rest_run-1_bold	0.0019670394736842106	0.023402483881578947	0	29.436527000330045	1.2328621807260733	0.9642561261056107	0.39947717509647124	18296418.0	0.1994415219336846	100	32.89473684210526	1.618241450103828	1.5295961865977097	1.756637231958781	1.5684909317549929	0.187891	-0.002732601948082447	0.0003211993316654116	304	72	72	38	8.581448301797149	2.0	3.194444417953491	3.194444417953491	3.299999952316284	1	45.34369466480536	0.1537487246394363	7.719076633453369	0.10665005445480347	134349.0	0.0013695209287106992	36.88601379394514	32.76116180419922	4.158956417595067	46.94600110440809	463.22076416015625	460.8721923828125	26778.0	386.7540481567383	547.5705291748046	53.70463943481445	40.074893951416016
sub-101_ses-A_task-rest_run-2_bold	0.0027631578947368424	0.019826077203947367	0	28.599712183003305	1.2552051284488446	0.9835471623432345	0.4014947634771886	41385284.0	0.18360985778312125	97	31.907894736842106	1.6253896328216575	1.5428034910550614	1.7833805365283844	1.5499848708815267	0.0309168	-0.0026938647497445345	-0.0006273621693253517	304	72	72	38	8.143323319754428	2.0	3.194444417953491	3.194444417953491	3.299999952316284	0	42.56642459994205	0.10245001878433083	8.495134353637695	0.06978768855333328	134243.0	0.00044591070909518756	42.240594482421855	35.46493148803711	3.429793169934415	52.7761461076966	481.34552001953125	477.7508544921875	26844.0	399.05931243896487	576.5526977539063	58.66670608520508	49.33158493041992
sub-101_ses-B_task-rest_run-1_bold	0.0006478618421052632	0.017022325592105265	0	27.707408011056103	1.2267191994059392	0.9527944052145216	0.39927440103445755	78944608.0	0.12799252699852823	37	12.171052631578947	1.6227147700048423	1.5205678991216314	1.7750127518063255	1.5725636590865695	0.0693336	-0.0016481118509545922	-0.0006342070992104709	304	72	72	38	8.232323298136643	2.0	3.1944446563720703	3.1944446563720703	3.299999952316284	0	44.979938882064324	0.0726506307481293	7.767469882965088	0.049110643565654755	134525.0	2.465157667757013e-05	38.35873260498036	32.93286895751953	3.972394077337979	47.23622790893092	454.4999084472656	452.05804443359375	26635.0	376.59400329589846	541.3269653320312	54.91154098510742	52.51872253417969
sub-101_ses-B_task-rest_run-2_bold	0.0012757565789473682	0.01843782782894737	0	27.214604261023105	1.2246809966006602	0.9678500461386141	0.40085129198222247	13284468.0	0.1645381332060826	71	23.355263157894736	1.6105218168171342	1.5148047690691895	1.7482788405364433	1.5684818408457704	0.0516187	9.863932064035907e-06	-0.00010574405314400792	304	72	72	38	8.159992735144849	2.0	3.1944446563720703	3.1944446563720703	3.299999952316284	0	45.79063504566936	0.1813485397346486	8.322081565856934	0.12289111316204071	134713.0	0.00014578090049326424	40.56988754272447	33.80685043334961	3.9217919006729174	49.040479882421764	459.18634033203125	456.715576171875	26597.0	380.5758361816406	546.9721557617188	55.96904373168945	50.456424713134766
sub-102_ses-A_task-rest_run-1_bold	0.003047763157894737	0.024652365460526317	0	24.430993769835	1.1110610097689773	0.9632445321122106	0.4151554363563669	17475978.0	0.17835438308775045	83	27.30263157894737	1.5422130505809186	1.4265735770477093	1.6661050572949705	1.5339605174000759	0.0774487	-0.004643676802515984	0.0007667223108001053	304	72	72	38	7.808328498700697	2.0	3.194444417953491	3.194444417953491	3.3000001907348633	0	34.18915560937884	0.17141775998574352	9.708008766174316	0.11714258044958115	132666.0	0.0005218524602241814	65.03248405456543	36.3208122253418	3.6790491584335747	56.66908544428507	508.9397888183594	503.38775634765625	28743.0	423.5721862792969	614.7146606445312	64.46693420410156	43.9154167175293
sub-102_ses-A_task-rest_run-2_bold	0.0009128618421052633	0.011053946381578948	0	25.346734408943885	1.174983129801979	0.9935300443894388	0.4131603182655657	114565352.0	0.18325102531014703	109	35.85526315789474	1.5037158900006793	1.3949029680894185	1.6238629699881426	1.492381731924477	0.109444	-0.0034476439468562603	0.00011290004476904869	304	72	72	38	7.64592662668291	2.0	3.194444417953491	3.194444417953491	3.3000001907348633	1	34.47030818635231	0.06797052016749626	9.927586555480957	0.04667031019926071	132739.0	0.00023760080803185703	68.2717468261718	38.565608978271484	3.4899043423267804	58.836703458328245	512.2245483398438	507.02838134765625	28602.0	422.76207580566404	620.1442840576169	66.31237030029297	58.55451965332031
sub-102_ses-B_task-rest_run-1_bold	0.0008326315789473683	0.011556014934210525	0	25.351756709603965	1.1894262447854784	0.985851634521452	0.41225121906631057	211647584.0	0.14963037985841746	56	18.42105263157895	1.5059161499758842	1.3816047779060179	1.6469435429114605	1.4892001291101742	0.147132	-0.005922880955040455	0.0025467185769230127	304	72	72	38	7.785920303815027	2.0	3.1944446563720703	3.1944446563720703	3.299999713897705	0	40.34201851464707	0.04761204201960555	9.285314559936523	0.03211858496069908	132674.0	5.054623279932004e-08	64.01930198669427	35.84785461425781	3.497431371896753	57.6552774381711	514.2674560546875	509.4688720703125	28628.0	426.0030822753906	621.1047546386718	65.4334945678711	58.046958923339844
sub-102_ses-B_task-rest_run-2_bold	0.00022644736842105263	0.009558289605263157	0	24.543445266270616	1.1727726445874573	0.9852426156435645	0.4132119367628829	228258464.0	0.17154933121646299	101	33.223684210526315	1.5031301626613496	1.377325473842092	1.6216527619806198	1.5104122521613368	0.0788284	-0.0053700413554906845	0.001526420470327139	304	72	72	38	7.6970455489741845	2.0	3.1944446563720703	3.1944446563720703	3.299999713897705	1	33.70227867218689	0.04740539021728226	9.498184204101562	0.03198816999793053	132495.0	0.0	65.31342544555663	36.6225700378418	3.3725077756659445	58.321719985091214	515.676513671875	511.2467041015625	28741.0	426.25286865234375	624.4640502929688	66.42000579833984	64.35633850097656
sub-103_ses-A_task-rest_run-1_bold	0.0003119078947368422	0.016319099572368424	0	22.70660060458748	1.0840464089108908	0.9191370267326733	0.40406179105531165	85993240.0	0.11699759781039294	7	2.3026315789473686	1.576908534784689	1.4311722925975876	1.767947229019307	1.5316060827371722	0.0876722	-0.0048561799339950085	0.0024681915529072285	304	72	72	38	7.85612366107849	2.0	3.194444179534912	3.1944448947906494	3.299999952316284	0	55.112234382745186	0.07762081356124781	8.401453018188477	0.05245255306363106	133847.0	4.917515470879152e-05	52.04717369079581	34.22129821777344	2.5607732438013633	62.55560625214689	528.2295532226562	524.865966796875	27245.0	432.0404541015625	633.642529296875	66.80856323242188	52.37732696533203
sub-103_ses-A_task-rest_run-2_bold	0.00025237458193979933	0.007164198996655518	0	22.105738844798676	1.181568960100671	0.9879554890268458	0.40161185263849825	0.0	0.09859088842301947	3	1.0033444816053512	1.5638234111439147	1.419912117750758	1.7468762754681075	1.5246818402128777	0.122491	-0.004738847725093365	0.0020568748004734516	299	72	72	38	7.8482687350676255	2.0	3.194444179534912	3.1944448947906494	3.299999952316284	0	53.21529849782576	0.03738770429960668	8.263036727905273	0.025411071255803108	134059.0	8.044101996347309e-05	52.42487754821775	34.802730560302734	3.3743848362669793	62.70444109094615	531.6327514648438	528.9727783203125	27120.0	436.0800552368164	636.6979187011718	67.39868927001953	68.46173095703125
sub-103_ses-B_task-rest_run-1_bold	0.00042417763157894737	0.013905376414473682	0	21.855036870858065	1.048963277689769	0.9490010358085805	0.4077003536634084	75484776.0	0.1318384055753559	37	12.171052631578947	1.619025420678745	1.4604884897555117	1.824824226762574	1.57176354551815	0.0448836	-0.005189772695302963	0.004984454717487097	304	72	72	38	7.800786220787807	2.0	3.1944448947906494	3.1944446563720703	3.3000001907348633	0	57.70018529622953	0.07995034676566767	8.283851623535156	0.05393604189157486	133162.0	0.0	49.590344810485796	33.80070877075195	3.121510645275671	57.862071671559775	501.319580078125	498.9871520996094	27730.0	407.15337524414065	602.1987915039062	63.965110778808594	55.13730239868164
sub-103_ses-B_task-rest_run-2_bold	0.000488125	0.008533176611842105	0	22.04868283930694	1.1120109538283833	0.9827037996039604	0.40418298623345333	190227840.0	0.10918693791643813	13	4.276315789473684	1.5655044275128258	1.4115159749204256	1.7591852745954912	1.5258120330225609	0.0754481	-0.005056952591985464	0.0032954851631075144	304	72	72	38	7.963588905506855	2.0	3.1944448947906494	3.1944446563720703	3.3000001907348633	0	57.1769014794082	0.05147842873053097	8.32119083404541	0.03472167253494263	133723.0	0.0	51.119363784789975	34.69731140136719	2.967156590659892	59.77934672677141	513.6547241210938	511.5600280761719	27177.0	420.76708984375	614.7749023437498	64.23619079589844	64.7181167602539
sub-107_ses-A_task-rest_run-1_bold	0.0030781249999999997	0.009052655197368422	0	21.62479814214521	1.084820019075907	1.0082643113861383	0.43639518461261906	134699392.0	0.13280866686286014	38	12.5	1.6048525566669365	1.4694982088193653	1.7213385775301209	1.6237208836513233	0.140062	0.008771995082497597	0.005188830196857452	304	72	72	38	7.224219538342123	2.0	3.194444179534912	3.194444179534912	3.3000006675720215	14	34.56802893927967	0.06340733736176085	9.625992774963379	0.04299568384885788	127502.0	0.0001297831397096161	63.207192039489655	36.259246826171875	1.6534699144981042	75.99865665342476	557.8302612304688	552.9572143554688	33174.0	451.8975326538086	684.1006500244141	76.54098510742188	57.24229431152344
sub-107_ses-A_task-rest_run-2_bold	0.0007656249999999999	0.014113529539473684	0	20.302284706699677	0.9888960100330032	0.9408845513201325	0.4363714960539726	49782572.0	0.12143815779292216	30	9.868421052631579	1.6263050589664256	1.4906098627440296	1.763129885343625	1.6251754288116225	0.0219524	0.009147927165031433	0.004831972066313028	304	72	72	38	7.107664911057881	2.0	3.194444179534912	3.194444179534912	3.3000006675720215	0	34.820494173119755	0.10905527134392878	9.9625825881958	0.07387223094701767	127724.0	0.0001470932118536439	63.79259490966762	36.80085754394531	1.6328631896231771	76.93675275625026	563.9549560546875	557.8639526367188	32986.0	455.1799545288086	694.6561126708984	78.48646545410156	55.640625
sub-107_ses-B_task-rest_run-1_bold	0.0002808881578947368	0.008312410328947369	0	20.782090681254118	1.0685749927722774	0.9652294460726074	0.440420299376762	123551616.0	0.08158237509068886	4	1.3157894736842106	1.6220113672914611	1.5031442368407912	1.7475840144924	1.6153058505411921	0.0847125	0.005910271313041449	0.0051760380156338215	304	72	72	38	7.118407619561025	2.0	3.194443941116333	3.194444417953491	3.3000004291534424	0	31.777657697260835	0.06663284723240172	10.208179473876953	0.04494317248463631	126811.0	0.0	68.37438201904297	37.1955680847168	1.9652269502703064	74.46927066130054	565.6472778320312	560.714111328125	33557.0	455.2330383300781	696.5586059570311	78.76842498779297	61.89354705810547
sub-107_ses-B_task-rest_run-2_bold	0.0006042763157894737	0.009738001809210526	0	21.66623617221122	1.0885164816171617	0.9736114518151813	0.4405754707161624	81051912.0	0.10003801111239526	12	3.9473684210526314	1.622460563994176	1.509232933452322	1.7446883622944738	1.6134603962357323	0.0362693	0.006099577993154526	0.004917613696306944	304	72	72	38	7.101191261536761	2.0	3.194443941116333	3.194444417953491	3.3000004291534424	1	31.81791923688892	0.08249729641964589	10.478130340576172	0.055643580853939056	126950.0	0.0	69.4840019226071	37.909217834472656	1.973542423682452	75.11944747648381	569.820556640625	564.1843872070312	33519.0	458.5674102783203	701.2819641113281	79.44807434082031	60.64065170288086
sub-108_ses-A_task-rest_run-1_bold	0.0017989473684210527	0.017900602434210527	0	25.43708222759075	1.0486586269306928	0.9454761143894393	0.4603034377201292	17120242.0	0.1439776585658342	47	15.460526315789474	1.9072821209039412	1.7326078850543554	2.0845504337375833	1.904688043919885	0.107876	0.005460264626890421	0.00934000127017498	304	72	72	38	6.309140543658138	2.0	3.1944446563720703	3.194444179534912	3.299999713897705	0	48.1263332158494	0.1567658048110786	9.349642753601074	0.10778886079788208	122942.0	0.000579099910100922	54.464333343505835	35.6568489074707	1.9906684176236187	61.11671111808575	478.04541015625	477.0304260253906	36637.0	350.79152221679686	600.5432250976562	75.60838317871094	41.238460540771484
