bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-01_T2w	0.6541506501030118	1.3014138357456706	0.4700327383162108	7264.486794558401	2.913499961570537	2.907125173278163	3.126974953404442	2.7063997580290056	0.29044947798543524	0.5749145717933936	0.13463595022117114	0.9340539574623108	0.2663470774888992	0.0	0.00242070926666574	13.495742076580804	8.883827087521622	38.505571682017944	208	300	320	6.658740849598346	6.761589227502826	5.127375052287413	1.9617950797610668	65.26042244352612	36.20492966353751	70.0161387265503	108.58306407258728	0.7999999523162842	0.800000011920929	0.8000000715255737	5.8086856855381885	6.034386211426709	7.0633315547084035	4.070131648331881	7175298.0	0.0	24.838239289820194	8.781746364344142	0.89199674704005	80.08713597524267	613.0496059401632	601.1062632836401	34930.0	486.20331598073244	779.3154120706022	90.27197068603427	0.36675150161171066	47.13010358975834	338.65361624841256	333.4794530533254	540016.0	266.6875490806997	428.7205336242914	49.31963966823514	-1.5653036219398513	388.97034607450263	769.3631545416171	1000.146144580096	69428.0	29.91024949774146	1311.4099841980262	509.8080590140515	0.12774455173329347	0.3815175837134277	0.04289384497005001	0.7868015303525394
sub-02_T2w	0.7360606704428203	2.1402655455940165	0.47918753034291867	8921.840985718592	3.245937531018013	3.1965126905270034	3.487124948037789	3.054174954489247	0.27443535045726225	0.6379038212279915	0.08766082831474632	0.5336278975009918	0.10063343197107322	0.0	0.0019744871826477663	18.329568054706723	8.899858049511142	52.80879445197899	208	300	320	14.45133840155563	6.090668335592789	7.43037436187005	1.7491163484617311	137.23406414775386	47.838721477716	68.02949162775046	19.0156892577815	0.7999999523162842	0.800000011920929	0.800000011920929	26.850873452331594	34.44351895610641	50.29388463676522	23.231800496578217	6901926.0	0.0	175.91635598242283	64.02982785004278	3.2667715182347763	389.4031170870919	7105.588529862616	7215.022840887308	214474.0	6142.571943908185	7703.323020935801	499.2621319985941	-0.04264128463331618	428.05639947116686	2548.276415367849	2515.1005348712206	878466.0	1931.078883498907	3267.552739843726	412.94304085533713	0.2973683491122667	687.3395560574123	998.2613953247645	999.7418147027493	20313.0	152.1166670292616	1885.828498753905	571.5555782527236	0.14984089748950152	0.40873241374771185	0.07933046157314881	0.12781967294269073
sub-03_T2w	0.4236750803673302	3.0571850589510863	0.5397027661488839	6529.883136094675	3.044670784995469	3.0709251830414046	3.190462214750449	2.872624957194552	0.23409643329310117	0.6773046910740126	0.08859887563288621	0.8470032811164856	0.17537637352943425	0.0	0.0020954831595455226	16.86129126855849	8.369489314125849	52.01307186127735	208	300	320	6.750753112434241	7.105091636135964	5.036896947293989	1.2548460933117591	116.42955170097969	37.336907944392024	54.36580177454903	9.33094567827538	0.7999999523162842	0.8000000715255737	0.800000011920929	5.790051506993137	70.25231997041932	82.48211220072007	47.384469747543335	6916825.0	0.0	292.7515754699707	107.92156424903216	3.665645418584406	1365.7468342764193	12016.437346693432	12485.104048728943	130930.0	8405.793814289571	14155.993048787117	1849.4316355749481	0.2295398065934111	551.5850468964607	4053.6115112447287	4003.753117084503	821816.0	3215.8103750944138	5061.4589294195175	563.5044396616614	2.8647266313391864	720.7818472212577	1161.925366747882	1000.5864143967628	28784.0	167.72225677967072	2657.9520744502543	797.3639465674424	0.15754996894309903	0.4213077976656548	0.035590554217823984	0.07095330771661926
sub-04_T2w	0.4235787438614723	3.0708819694866114	0.48290356067931434	10499.341023860623	3.065154120992311	3.0236124549446637	3.327549950415642	2.844299957616628	0.24246283705488464	0.6935902848350591	0.06394687811005619	0.7488499879837036	0.1992743521928788	0.0	0.0023362494867871157	17.06222616427859	8.118740167196224	64.39639208276986	208	300	320	7.278210608707271	6.340777788396034	4.8792141877488	1.0186541661430963	129.0540530138641	44.448066909824476	60.9041541717264	9.21034259149064	0.800000011920929	0.800000011920929	0.800000011920929	4.199515040405322	71.10240240242122	74.37757441565827	47.957841634750366	6797697.0	0.0	259.8155596256256	96.21792102685211	5.458564712256038	1322.0358776362275	13479.990252311514	14006.324803590775	170669.0	9708.142772769928	15560.369676256181	1924.413090379741	-0.40086482197069806	824.3190608192789	4904.213166713943	4823.97915828228	834012.0	3788.669489145279	6223.71572291851	760.7862043481995	4.575947233087798	795.6046290798396	1254.788650944592	999.604792535305	15096.0	162.84585785865784	3096.0475839972496	981.2669666927299	0.16020387631527816	0.42376872112520203	0.04756792326360689	0.064005871633934
sub-05_T2w	0.49718476626151625	2.7785170606568594	0.5550773129188538	1768.9085193670414	2.9762292742282224	2.8439751695141298	3.2727626950718576	2.81194995809868	0.2263991966576942	0.6778119431805262	0.09578886016177962	0.9493159055709839	0.2092907190322877	0.0	0.0015270937262625579	18.64407769496034	8.578467543054865	45.3439804448255	208	300	320	6.499329477726266	6.742313596949269	4.8508106757135385	1.3107889524650795	100.52833399253196	37.60001674751551	49.51542116311037	10.417912749283635	0.7999999523162842	0.7999999523162842	0.800000011920929	6.68508643427937	62.86018040872661	91.05686439668013	42.39854738116264	6919659.0	0.0	326.67071267962456	115.18992923455049	3.1030827133362155	1172.4920317189626	9527.151956332813	9645.669529214501	121947.0	6807.853993855417	11742.782441824675	1484.0961692396631	-0.1538256236913269	554.0675901740617	3638.649602203873	3607.7125864475965	681528.0	2812.0331805944443	4554.613477960229	535.0848618635388	1.4987555667788302	742.6481314002416	1137.6470519654474	999.5962289720774	23505.0	171.6131679713726	2546.012580454349	762.575060909217	0.15414115125506894	0.4235604031611871	0.059730849431826556	0.08584755167152171
sub-06_T2w	0.4161824973660016	3.0193526427319863	0.46795004059376205	7457.805351494746	2.836283350079894	2.7978376667641203	3.0663872258436182	2.644625157631943	0.25762927473207564	0.6788592318484119	0.06351149341951251	0.8985559344291687	0.2028469562530517	0.0	0.0026286875940345327	16.90856017979466	9.10974339752242	82.4479962937225	208	300	320	5.928249762142162	7.06978057451631	4.670833916697518	1.0144714134340809	112.98691007680827	39.65955250056684	53.773471874180984	8.673953045167849	0.7999999523162842	0.8000000715255737	0.7999999523162842	3.282517796207074	75.65897429735101	77.31218145871287	51.03120267391205	7353396.0	0.0	270.49181520938873	99.63740692806898	2.539915791193069	1596.286753050846	12659.629204488572	13048.387672305107	97300.0	8174.511201381683	15667.636862397194	2201.0409721782667	0.0026716857734698785	654.6657361480632	4638.062011417031	4580.1165425777435	706648.0	3676.6262859106064	5788.736373782158	647.8437701945015	4.325793696231175	834.6008097360638	1258.9386769565265	1001.7187115550041	17524.0	165.25648534297943	3119.050904363392	987.4010411186241	0.15117481992509374	0.4125734075453265	0.025489533955919675	0.06544760334581992
sub-07_T2w	0.4830017461359624	2.6435076948853835	0.4937766470458343	7618.916980865303	3.391670866948122	3.388512701971096	3.5914874464826667	3.1950124523906047	0.2803255716032197	0.6474262321451493	0.07224819625163108	0.8791851103305817	0.17122860252857208	0.0	0.002282421851211519	15.089891337624453	8.630875385812095	62.29736283058478	208	300	320	8.986019940295458	6.328631142286101	5.488141863714442	1.149774508561768	113.10404893712125	37.46358530358161	53.47155563347587	9.847032659724778	0.7999999523162842	0.800000011920929	0.800000011920929	4.108201627989215	66.55409199586366	66.34570309836556	44.89005288481712	6991845.0	0.0	241.31251779198647	88.08055020588785	4.591572874439513	948.3113514334483	11353.746148043381	11490.03059220314	210091.0	8955.223748087883	13105.047088757157	1278.6532105588421	0.3127909076774724	574.3246517409555	3883.9633097687524	3805.8561587929726	700732.0	3029.964635580778	5000.113860160112	601.3707162886249	2.9197026281492864	780.7436883372636	1192.696513911896	1000.3417876362801	20413.0	160.41927528381348	2792.4347313821295	870.0117086617073	0.14747632952596457	0.4055346571719291	0.04395254801604734	0.07499145883156816
sub-08_T2w	0.6864448271680936	0.43447289012181534	0.4597603145277993	7168.162225	3.0169041330976527	2.8394624576887124	3.3348626987733065	2.87638724283094	0.26138025944059634	0.6810607901044123	0.057558950454991355	0.8374605476856232	0.15511758625507344	0.0	0.002945331166052292	17.132409386284717	9.61569218288231	106.01867529748144	208	300	320	7.150942890817545	6.581829087113232	4.645946981407216	0.20506896629087043	116.85246116346572	35.89909052200042	54.74165350871337	11.473408840673976	0.800000011920929	0.7999999523162842	0.8000000715255737	2.8219537154025947	57.02316320359157	58.66901994422623	38.46153910458088	7521711.0	0.0	202.16467288136482	73.51294133501143	6.674060552293634	780.1284513657189	9731.337245914006	10170.854441404343	107070.0	6710.4562389805915	11047.738878175616	1422.3029186918563	0.734892160859324	436.1269065118913	3181.5329273397642	3124.661822631955	732464.0	2507.3444563001394	4066.6796195954084	474.7403264799602	-1.0190639768387013	1023.2649035177161	3815.138579542686	998.6470982581377	18759.0	128.9138019233942	11945.690188124776	4869.681152409046	0.1592362829051518	0.4142278820931206	0.012455145427204028	0.08756291413174262
sub-09_T2w	0.37423695196644424	3.3160202526153637	0.5119353390507894	7630.3790347771765	3.048612526957632	2.9146251737251982	3.334937450305559	2.8962749568421398	0.2174924060762158	0.6903373878200881	0.09217020610369603	0.8791487812995911	0.19013399481773374	0.0	0.0021910250131508715	19.086490100936913	8.275624981152559	48.00891769818246	208	300	320	8.662753262075947	8.322481904178387	6.004583601792576	1.028515639123395	117.24466579881879	45.84533912846237	57.580304341930876	9.650908098511485	0.7999999523162842	0.800000011920929	0.800000011920929	3.8576425986704574	67.86686624764418	68.5692797973797	45.77550566196442	7178559.0	0.0	245.678112834692	89.62681547282942	6.075201074853894	1006.4511866937872	11955.832363241767	12145.605177819729	138204.0	9450.76707135737	13855.612498372793	1402.0440002662465	-0.16074496627631296	594.9180615750937	4782.272774094619	4749.208712428808	843084.0	3907.96205252409	5759.922137975693	570.6477887893598	3.858222242212129	808.2654974918901	1252.8471938472637	999.7565225958824	33105.0	160.70124328136444	3101.631390023231	972.0235499312298	0.1467695684709599	0.42142109427706254	0.039765322220531085	0.07208567352452756
sub-10_T2w	0.438638713010613	2.94146844186624	0.4622249421842752	1718.1637567036328	2.991654264442692	2.915812673795979	3.2429874516757216	2.8161626678563754	0.24439515126255004	0.6583510601163896	0.09725378862106039	0.8024776577949524	0.16576913297176354	0.0	0.0018573695685560132	20.97190528769476	10.262079012857736	59.07355282467869	208	300	320	8.649405290027632	7.248827193452273	5.714870857178586	1.2463800880558522	56.078158931111474	19.19064610100267	26.74288995766668	4.959864840885897	0.7999999523162842	0.800000011920929	0.7999999523162842	2.9364067929880555	132.10190559008066	137.74267729664288	89.10138130187988	7590567.0	0.0	431.81571865081787	151.18643914946256	8.393291168537894	891.5267628481786	11054.264195547512	11307.617248535156	159316.0	8688.905920028687	12620.450039863586	1307.32476757696	-0.015483924360288892	540.6512136101351	3910.3601144886507	3869.6077938079834	646787.0	3103.553235054016	4844.941938400269	533.8249483853094	4.420627718147346	718.0221868475483	1157.0038018830378	1000.1086750030518	25826.0	182.5491714477539	2600.619401693344	802.395129672731	0.14830907218250364	0.42004828824446633	0.038840270768465475	0.07883511777301927
